title,filename,published,words
Seventeen to Two: The Rivalry Where One Side Stopped Showing Up Years Ago .,038-mets-braves-asymmetry.txt,2026-05-16,1376
"Fifty Issues, Fifty Lessons, and One Federal Coinage We Repurposed for Ourselves.",sunday-006.txt,2026-05-17,2988
"Three Lies, Thirty Dots.",040-three-lies-scatter-plot.txt,2026-05-18,1555
What the Mets Need from Here Is Not a Miracle. It Is Their Preseason Projection.,043-mets-wild-card-math.txt,2026-05-19,1558
Do Patient Teams Win More Games? Chris Kelly Asks. The Math Says: Not Really.,042-plate-discipline-r07.txt,2026-05-20,1255
The Mets Bought Two Closers. Both Are Broken.,039-mets-bullpen-eighth.txt,2026-05-21,1037
A Five-Game Lead at Season’s End Is Statistical Noise. Here’s the Math.,044-significance-chi-square-part-1.txt,2026-05-22,1855
Carolina Is 8–0 in the Playoffs. That Has Never Happened in This Format Before.,046-hurricanes-eight-zero.txt,2026-05-23,1394
The Mets Are 22–29. The Hurricanes Lost a Game. Memorial Day Weekend.,sunday-007.txt,2026-05-24,2674
Marcus Freeman Won the Portal. Then He Started On 2027.,047-notre-dame-recruiting.txt,2026-05-25,2155
Bill James Says the Mets Should Be 22–24. The Bigger Story Is What That Means Over 162.,048-pythagorean-mets.txt,2026-05-26,1536
Past the Pythagorean. BaseRuns Asks the Harder Question.,051-baseruns-mets.txt,2026-05-27,1532
"Forty, Fifty-Seven, Thirty-Two. The Other City Has Forty-Nine.",049-misery-index-ny-dc.txt,2026-05-28,1550
"The Tiebreaker Pretends to Add Data. Instead, It Adds Noise.",045-significance-tiebreaker-part-2.txt,2026-05-29,1917
Zero for Thirty-Eight. Then a Shower. Then the IL.,053-raleigh-slump-shower-oblique.txt,2026-05-30,1420
The Doctors Said May. The Calendar Says May. The Players Say Otherwise.,sunday-008.txt,2026-05-31,2746
"One More Such Victory, and the Jets Are Undone.",056-pyrrhic-1-jets-trevor.txt,2026-06-01,1643
Pre-Season Simulation: A Framework for Forecasts That Are Honestly Wrong.,052-preseason-sim-framework.txt,2026-06-02,1421
Jerry Dipoto Said You Play 54% Baseball to Make the Playoffs. The Math Says: Sometimes.,054-mariners-54-percent.txt,2026-06-03,1391
Why Every Baseball Superstition Looks Like It Worked.,055-superstition-baseball-math.txt,2026-06-04,1669
Vegas Did Something No Road Team Had Ever Done in a Cup Final. The Real Question Is How Much It Matters.,062-cup-final-game1.txt,2026-06-05,1032
Notre Dame Just Bought the Sixth Most Expensive Roster in College Football. Here’s What $40.4 Million Actually Buys.,063-nd-roster-value.txt,2026-06-06,1819
Marner Scored Three in Six Minutes. Carolina Answered With Three in Under One. The Scorecard Is Still Waiting .,sunday-009.txt,2026-06-07,2376
The Sabres Did the Tank Perfectly. The Lottery Did Not Care.,057-pyrrhic-2-sabres-mcdavid.txt,2026-06-08,1803
The Bobcats Set a Record That Should Have Won Them Anthony Davis. Tantalus Disagreed.,058-pyrrhic-3-bobcats-davis.txt,2026-06-09,1497
The Astros Won the Tank. Baseball Lost the Decade.,059-pyrrhic-4-astros-mlb-commons.txt,2026-06-10,1682
Cincinnati Was Named After a Man Who Refused to Stay in Power. Five Straight Coaches Did Not Get the Message.,066-pyrrhic-5-cincinnati.txt,2026-06-11,1747
Juan Soto Is 94 Spots From Help. That Number Is Lying to You.,065-soto-least-supported.txt,2026-06-12,1448
We Made an Inference Error Yesterday. Three More Are in Your Sports Feed Right Now.,068-defensive-reader-1-temporal.txt,2026-06-13,1722
Carolina Leads 3–2. The 75% Comp Spent Last Week at 31%. It’s Back.,sunday-010.txt,2026-06-14,2443
How Do You Win Eight Straight and Then Lose by Six? You Build an Offense Designed to Do Exactly That.,064-mariners-streak.txt,2026-06-15,1045
Base Rate,concept-base-rate.txt,2026-06-15,831
Bayesian Inference,concept-bayesian-inference.txt,2026-06-15,989
Conditioning on the Consequence,concept-conditioning-on-the-consequence.txt,2026-06-15,1035
Confirmation Bias,concept-confirmation-bias.txt,2026-06-15,877
Counterfactuals,concept-counterfactuals.txt,2026-06-15,1001
P-Value,concept-p-value.txt,2026-06-15,967
Pearson Correlation,concept-pearson-correlation.txt,2026-06-15,1002
Post Hoc Ergo Propter Hoc,concept-post-hoc.txt,2026-06-15,939
Precision vs. Accuracy,concept-precision-vs-accuracy.txt,2026-06-15,837
Regression to the Mean,concept-regression-to-the-mean.txt,2026-06-15,1066
Sample Size,concept-sample-size.txt,2026-06-15,1011
Survivorship Bias,concept-survivorship-bias.txt,2026-06-15,943
Two Trophies. Same Record. Twenty-Four Hours Apart.,082-sixteen-and-three.txt,2026-06-16,1200
What 'Banned' Used to Mean. A Lubbock County Judge Just Showed What It Means Now.,083-ncaa-enforcement-collapse.txt,2026-06-17,1098
Steve Cohen Has Sold Before. The Data Mostly Agrees with Him.,060-mets-sell-or-hold.txt,2026-06-18,1877
"When the Refs Stop Refereeing, the Players Try to Become the Refs. The Math Says They Run Out of Energy.",084-peer-enforcement.txt,2026-06-19,1385
Necessary vs. Sufficient,concept-necessary-vs-sufficient.txt,2026-06-19,826
Money Buys Wins in Baseball. Just Not Very Many.,061-mlb-money-buys-wins.txt,2026-06-20,1588
"The Prior Was Right to Wait: Two Droughts End, and a 75% Bayesian Call Pays Off",sunday-011.txt,2026-06-21,2126
