month,week,sport,event,type,recurs_2027,coverage
August 2025,Aug 11,MLB,MLB pennant races tighten as September call-ups loom,RECURRING,yes,in-scope
August 2025,Aug 11,NFL,NFL preseason games begin league-wide; rookie QB and depth battles in focus,RECURRING,yes,in-scope
August 2025,Aug 18,Tennis,US Open tennis begins in Flushing Meadows,RECURRING,yes,GAP
August 2025,Aug 18,College Football,Teams open fall camp with season openers one week away,RECURRING,yes,in-scope
August 2025,Aug 25,Tennis,US Open tennis heads into its second week,RECURRING,yes,GAP
August 2025,Aug 25,College Football,College football's opening weekend kicks off the 2025 season (Aug 30),RECURRING,yes,in-scope
September 2025,Sep 1,Tennis,Carlos Alcaraz beats Jannik Sinner to win the US Open (Sept 7),OUTCOME,yes,GAP
September 2025,Sep 1,Tennis,"Aryna Sabalenka defends her US Open women's title, beating Amanda Anisimova",RECURRING,yes,GAP
September 2025,Sep 8,NFL,NFL Week 1 kicks off the 2025 season,RECURRING,yes,in-scope
September 2025,Sep 8,College Football,Week 2 headlines an early Heisman conversation,FIXED,yes,in-scope
September 2025,Sep 15,NFL,NFL Week 2 storylines take shape,RECURRING,yes,in-scope
September 2025,Sep 15,College Football,Rankings shuffle after upset-filled weekends,RECURRING,yes,in-scope
September 2025,Sep 22,Golf,"Team Europe wins the Ryder Cup at Bethpage Black, 15-13 (Sept 28)",OUTCOME,yes,GAP
September 2025,Sep 22,NFL,Week 4 action continues amid early-season Patriots surge behind Drake Maye,FIXED,yes,in-scope
October 2025,Sep 29,MLB,MLB regular season ends and wild-card round begins,RECURRING,yes,in-scope
October 2025,Sep 29,WNBA,WNBA Finals tip off between the Aces and Mercury (Oct 3),FIXED,yes,in-scope
October 2025,Oct 6,WNBA,Aces sweep Mercury 4-0 to win the 2025 WNBA championship (Oct 10),FIXED,yes,in-scope
October 2025,Oct 6,MLB,MLB Division Series play headlines the baseball calendar,FIXED,yes,in-scope
October 2025,Oct 13,MLB,MLB Championship Series (ALCS/NLCS) determines World Series matchup,FIXED,yes,in-scope
October 2025,Oct 13,College Football,Conference races intensify heading into November,RECURRING,yes,in-scope
October 2025,Oct 20,NBA,NBA regular season tips off,RECURRING,yes,excluded-by-policy
October 2025,Oct 20,MLB,World Series Game 1: Dodgers vs. Blue Jays (Oct 24),FIXED,yes,in-scope
October 2025,Oct 27,MLB,"Dodgers become first repeat World Series champs in 25 years, Game 7 thriller (Nov 1-2)",FIXED,yes,in-scope
October 2025,Oct 27,MLB,Yoshinobu Yamamoto named World Series MVP,OUTCOME,yes,in-scope
November 2025,Nov 3,NFL,"Trade deadline shakeup: Sauce Gardner to Jets, A.J. Brown to Patriots (Nov 4)",FIXED,yes,in-scope
November 2025,Nov 3,NFL,MVP race narrows to Drake Maye and Matthew Stafford,RECURRING,yes,in-scope
November 2025,Nov 10,NFL,Week 10 playoff picture takes shape,RECURRING,yes,in-scope
November 2025,Nov 10,College Football,"CFP rankings debate top contenders, incl. undefeated Indiana and Ohio State",RECURRING,yes,in-scope
November 2025,Nov 17,NFL,Weeks 11-12 storylines continue,RECURRING,yes,in-scope
November 2025,Nov 17,College Basketball,Season tips off with early-season tournaments,RECURRING,yes,GAP
November 2025,Nov 24,NFL,Thanksgiving tripleheader draws national attention,FIXED,yes,in-scope
November 2025,Nov 24,College Football,Rivalry week sets stage for conference championships,FIXED,yes,in-scope
December 2025,Dec 1,College Football,Conference championship weekend - Indiana completes perfect regular season,OUTCOME,yes,in-scope
December 2025,Dec 1,College Football,Big Ten and SEC title games shape the College Football Playoff field,RECURRING,yes,in-scope
December 2025,Dec 8,College Football,Fernando Mendoza (Indiana) wins the Heisman Trophy (Dec 13),OUTCOME,yes,in-scope
December 2025,Dec 8,NFL,Week 15 playoff races heat up in both conferences,RECURRING,yes,in-scope
December 2025,Dec 15,College Football,College Football Playoff bracket is set,FIXED,yes,in-scope
December 2025,Dec 15,NFL,Week 16 division races intensify,RECURRING,yes,in-scope
December 2025,Dec 22,College Football,Bowl season begins,RECURRING,yes,in-scope
December 2025,Dec 22,NFL,Week 17 playoff seeding battles continue,RECURRING,yes,in-scope
December 2025,Dec 29,NFL,Regular season finale (Week 18) decides playoff seeding,FIXED,yes,in-scope
December 2025,Dec 29,College Football,College Football Playoff first-round games are played,FIXED,yes,in-scope
January 2026,Jan 5,College Football,Montana State beats Illinois State for the FCS national championship (Jan 5),OUTCOME,yes,in-scope
January 2026,Jan 5,NFL,NFL playoffs open with Wild Card Weekend,RECURRING,yes,in-scope
January 2026,Jan 5,College Football,College Football Playoff quarterfinals are played,FIXED,yes,in-scope
January 2026,Jan 12,NFL,Divisional Round narrows the Super Bowl field,RECURRING,yes,in-scope
January 2026,Jan 12,College Football,CFP semifinals set the national title matchup,FIXED,yes,in-scope
January 2026,Jan 19,College Football,Indiana beats Miami 27-21 to win the CFP National Championship (Jan 19),OUTCOME,yes,in-scope
January 2026,Jan 19,NFL,"Conference Championships: Patriots beat Broncos, Seahawks beat Rams (Jan 25)",OUTCOME,yes,in-scope
January 2026,Jan 26,NFL,Matthew Stafford named NFL MVP at NFL Honors,OUTCOME,yes,in-scope
January 2026,Jan 26,NFL,Super Bowl LX week begins with Seahawks-Patriots buildup,RECURRING,yes,in-scope
February 2026,Feb 2,Olympics,Winter Olympics open in Milan-Cortina (Feb 6),RECURRING,no-olympics,GAP
February 2026,Feb 2,NFL,Super Bowl LX buildup continues; Bad Bunny halftime show a major storyline,RECURRING,yes,in-scope
February 2026,Feb 9,NFL,Seattle Seahawks beat New England Patriots 29-13 to win Super Bowl LX (Feb 8),OUTCOME,yes,in-scope
February 2026,Feb 9,Olympics,Team USA hockey teams advance toward gold-medal games,OUTCOME,no-olympics,GAP
February 2026,Feb 16,Olympics,Team USA hockey sweeps gold; men's and women's teams beat Canada in OT,OUTCOME,no-olympics,GAP
February 2026,Feb 16,Olympics,"Alysa Liu wins figure skating gold, ending a 20-year US medal drought",OUTCOME,no-olympics,GAP
February 2026,Feb 23,Olympics,"Winter Olympics close; Team USA sets record 12 golds, 33 total medals (Feb 22)",FIXED,no-olympics,GAP
February 2026,Feb 23,NBA,NBA trade deadline reshapes contenders ahead of the playoff push,FIXED,yes,excluded-by-policy
March 2026,Mar 2,NHL,Playoff races tighten across both conferences,RECURRING,yes,in-scope
March 2026,Mar 2,College Basketball,Conference tournaments begin,RECURRING,yes,GAP
March 2026,Mar 9,College Basketball,Conference tournament championships crown automatic bids,FIXED,yes,GAP
March 2026,Mar 9,College Basketball,Selection Sunday sets the NCAA Tournament brackets (Mar 15),FIXED,yes,GAP
March 2026,Mar 16,College Basketball,March Madness tips off with the First Four and opening rounds,RECURRING,yes,GAP
March 2026,Mar 16,College Basketball,Upsets and Cinderella runs dominate the men's and women's brackets,FIXED,yes,GAP
March 2026,Mar 23,College Basketball,Sweet 16 and Elite Eight action sets the Final Four fields,FIXED,yes,GAP
March 2026,Mar 30,College Basketball,Men's and women's Final Four games set the national championship matchups,FIXED,yes,GAP
April 2026,Apr 6,College Basketball,Michigan beats UConn 69-63 to win men's NCAA championship (Apr 6),OUTCOME,yes,GAP
April 2026,Apr 6,College Basketball,UCLA wins the women's NCAA basketball championship,OUTCOME,yes,GAP
April 2026,Apr 13,Golf,Rory McIlroy wins the Masters for the second year in a row (Apr 12),OUTCOME,yes,GAP
April 2026,Apr 13,NBA,Playoff seeding races conclude,RECURRING,yes,excluded-by-policy
April 2026,Apr 20,NHL,Stanley Cup playoffs begin (Apr 18),RECURRING,yes,in-scope
April 2026,Apr 20,NBA,Playoffs open across both conferences,RECURRING,yes,excluded-by-policy
April 2026,Apr 27,NFL,Fernando Mendoza goes No. 1 overall to the Las Vegas Raiders in the NFL Draft (Apr 23-25),FIXED,yes,in-scope
April 2026,Apr 27,NBA,First-round playoff series continue,RECURRING,yes,excluded-by-policy
April 2026,Apr 27,NHL,First-round playoff series continue,RECURRING,yes,in-scope
